commit,arch,board_repr,lanes,depth,precision,state_id,category,root_candidates,leaf_candidates,rotation,x,y,score,no_move,core_cycles,request_interval_cycles,driver
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,802,blocked_spawn,17,0,1,6,0,-9045,0,3275,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,801,equal_scores,34,0,1,4,2,-2427,0,9457,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,0,heuristic_trajectory,17,0,0,5,2,-1815,0,4755,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,600,high_stack_holes,34,0,1,4,16,-9873,0,3997,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,800,last_candidate_winner,17,0,1,9,1,-4671,0,4590,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,839,no_move,34,0,0,0,0,0,1,463,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,300,random_trajectory,34,0,2,7,5,-6045,0,9237,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,845,walls,34,0,0,1,0,-888,0,9550,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,817,wells,9,0,0,0,6,-3210,0,2492,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,806,blocked_spawn,34,0,1,8,0,-10191,0,3775,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,805,equal_scores,17,0,0,1,0,-894,0,4779,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,1,heuristic_trajectory,17,0,1,0,3,-2150,0,4723,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,601,high_stack_holes,34,0,3,0,16,-11721,0,3494,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,803,last_candidate_winner,9,0,0,8,8,-5073,0,2463,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,882,no_move,17,0,0,0,0,0,1,233,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,301,random_trajectory,34,0,1,7,4,-5004,0,9300,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,851,walls,34,0,0,6,0,-888,0,9550,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,827,wells,17,0,1,3,5,-3123,0,4701,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,808,blocked_spawn,17,0,1,1,0,-10080,0,2520,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,809,equal_scores,9,0,0,2,2,-1419,0,2525,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,2,heuristic_trajectory,17,0,0,5,2,-1514,0,4743,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,602,high_stack_holes,34,0,3,3,12,-9633,0,9149,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,804,last_candidate_winner,17,0,1,8,2,-2907,0,4700,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,888,no_move,34,0,0,0,0,0,1,459,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,302,random_trajectory,34,0,1,7,4,-5004,0,9300,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,898,walls,9,0,0,6,0,-852,0,2534,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,832,wells,17,0,1,2,5,-2879,0,4701,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,811,blocked_spawn,17,0,1,8,0,-5736,0,3900,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,821,equal_scores,34,0,2,1,3,-2769,0,9439,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,3,heuristic_trajectory,34,0,1,6,0,-887,0,9515,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,603,high_stack_holes,34,0,1,6,14,-9429,0,6776,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,807,last_candidate_winner,17,0,1,8,2,-1841,0,4727,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,942,no_move,17,0,0,0,0,0,1,234,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,303,random_trajectory,17,0,1,0,8,-11769,0,748,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,911,walls,17,0,0,0,0,-975,0,4779,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,846,wells,9,0,0,0,6,-3174,0,2492,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,813,blocked_spawn,17,0,0,0,0,-8775,0,1798,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,822,equal_scores,34,0,0,1,3,-1935,0,9479,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,4,heuristic_trajectory,34,0,3,3,4,-3093,0,9406,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,604,high_stack_holes,34,0,3,3,16,-13146,0,1979,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,810,last_candidate_winner,17,0,1,8,1,-1710,0,4744,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,969,no_move,9,0,0,0,0,0,1,125,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,304,random_trajectory,17,0,1,7,4,-4692,0,4672,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,914,walls,17,0,0,1,0,-939,0,4779,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,848,wells,17,0,1,3,5,-3123,0,4702,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,814,blocked_spawn,17,0,1,4,0,-8349,0,1317,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,830,equal_scores,17,0,1,5,2,-1914,0,4742,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,5,heuristic_trajectory,9,0,0,6,2,-1896,0,2516,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,605,high_stack_holes,34,0,3,6,3,-2393,0,9429,,cocotb
df015fcce596d7d1748f95375bc7c7f611d5b775-dirty,0,0,1,1,0,812,last_candidate_winner,17,0,1,9,2,-1932,0,4746,,cocotb
