commit,toolchain_id,arch,board_repr,lanes,depth,precision,target,package,speed_grade,route_seed,target_mhz,timing_met,reported_fmax_mhz,lut4,ff,bram,dsp,ccu2c,trellis_comb,trellis_ff,log_path,status,elapsed_s
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,0,0,1,1,0,LFE5U-85F,CABGA381,6,1,50.0,True,66.49,3070,2416,0,0,226,3744,2416,build/pnr_a0-bitmap-d1-p0-l1_s1/nextpnr.log,routed,27.1
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,0,0,1,1,0,LFE5U-85F,CABGA381,6,2,50.0,True,62.61,3070,2416,0,0,226,3744,2416,build/pnr_a0-bitmap-d1-p0-l1_s2/nextpnr.log,routed,57.0
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,0,0,1,1,0,LFE5U-85F,CABGA381,6,3,50.0,True,64.0,3070,2416,0,0,226,3744,2416,build/pnr_a0-bitmap-d1-p0-l1_s3/nextpnr.log,routed,61.2
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,0,0,1,1,0,LFE5U-85F,CABGA381,6,4,50.0,True,65.36,3070,2416,0,0,226,3744,2416,build/pnr_a0-bitmap-d1-p0-l1_s4/nextpnr.log,routed,26.9
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,0,0,1,1,0,LFE5U-85F,CABGA381,6,5,50.0,True,68.51,3070,2416,0,0,226,3744,2416,build/pnr_a0-bitmap-d1-p0-l1_s5/nextpnr.log,routed,32.2
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,0,1,1,0,LFE5U-85F,CABGA381,6,1,50.0,True,65.56,4108,2121,0,0,332,5062,2121,build/pnr_a1-bitmap-d1-p0-l1_s1/nextpnr.log,routed,39.5
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,0,1,1,0,LFE5U-85F,CABGA381,6,2,50.0,True,67.59,4108,2121,0,0,332,5062,2121,build/pnr_a1-bitmap-d1-p0-l1_s2/nextpnr.log,routed,35.3
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,0,1,1,0,LFE5U-85F,CABGA381,6,3,50.0,True,66.56,4108,2121,0,0,332,5062,2121,build/pnr_a1-bitmap-d1-p0-l1_s3/nextpnr.log,routed,40.0
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,0,1,1,0,LFE5U-85F,CABGA381,6,4,50.0,True,67.04,4108,2121,0,0,332,5062,2121,build/pnr_a1-bitmap-d1-p0-l1_s4/nextpnr.log,routed,31.4
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,0,1,1,0,LFE5U-85F,CABGA381,6,5,50.0,True,68.57,4108,2121,0,0,332,5062,2121,build/pnr_a1-bitmap-d1-p0-l1_s5/nextpnr.log,routed,36.5
