commit,arch,board_repr,lanes,depth,precision,state_id,category,root_candidates,leaf_candidates,rotation,x,y,score,no_move,core_cycles,request_interval_cycles,driver
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,802,blocked_spawn,17,0,1,6,0,-884,0,603,605,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,801,equal_scores,34,0,1,4,2,-238,0,1538,1540,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,0,heuristic_trajectory,17,0,0,5,2,-178,0,773,775,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,600,high_stack_holes,34,0,1,4,16,-963,0,858,860,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,800,last_candidate_winner,17,0,1,9,1,-461,0,773,775,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,839,no_move,34,0,0,0,0,0,1,382,384,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,300,random_trajectory,34,0,2,7,5,-578,0,1538,1540,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,845,walls,34,0,0,1,0,-88,0,1538,1540,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,817,wells,9,0,0,0,6,-318,0,413,415,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,806,blocked_spawn,34,0,1,8,0,-978,0,824,826,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,805,equal_scores,17,0,0,1,0,-90,0,773,775,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,1,heuristic_trajectory,17,0,1,0,3,-211,0,773,775,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,601,high_stack_holes,34,0,3,0,16,-1125,0,790,792,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,803,last_candidate_winner,9,0,0,8,8,-496,0,413,415,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,882,no_move,17,0,0,0,0,0,1,195,197,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,301,random_trajectory,34,0,1,7,4,-480,0,1538,1540,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,851,walls,34,0,0,6,0,-88,0,1538,1540,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,827,wells,17,0,1,3,5,-308,0,773,775,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,808,blocked_spawn,17,0,1,1,0,-979,0,501,503,native
ae0728a3e36e9a03e211f2ae3f8a73c386bdd68e-dirty,1,1,1,1,6,809,equal_scores,9,0,0,2,2,-140,0,413,415,native
