suite,policy,depth,precision,stream_seed,stream_sha256,cap,lines,pieces_locked,terminal_reason,wall_seconds,protocol_sha256,model_closure,source,quality_key,git_commit
bag50k,heuristic,1,0,20000,457b35bb33331c8f625db7a9198ee566a1982750994493feccebd5ca569e6a5d,50000,5346,13408,top_out,1.753,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,fc0f1855ac58a06755ed86e96ce27ea37a048557bc48da1c62e35ded1a835eeb,
bag50k,heuristic,1,0,20001,a52d9254c4e01272d6de77c1945e36e98aab0723c059b4923a3bd636e3d61ac2,50000,6479,16240,top_out,2.096,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,c3b902698faadb9928cdb850bee7e2b631e4f36cbcc8f6c3f521c6eaa16187bd,
bag50k,heuristic,1,0,20002,953a92450b7e7e987e726e113ca56df23812ce839c9fa5d16c6c0a30dd1c19b4,50000,9194,23027,top_out,2.953,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,e39eadbd97bd4cddfb503cda8de2100eda4b8b9a214ec992a5f8484c0a8f2c70,
bag50k,heuristic,1,0,20003,3119830bd573d9354b2e32478faf187e5c0ea6d377ff861080b0b2a23619e683,50000,3248,8164,top_out,1.047,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,499e8e919beab02392928adeffd22cc569397a84ce972abd7144f3e8841565ed,
bag50k,heuristic,1,0,20004,1f7f995d4b2a7929d3a96dcdbbfb23d4579e4ba8425b5531cdf624723e31fd9e,50000,4330,10868,top_out,1.413,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,43a871d5f03e2f888272c2467684d9d68284d0eea89cc4c0f096738c32a65c67,
bag50k,heuristic,1,0,20005,d99bdfaec413f5bd748184e9da1f682c9d1c7594e563fc8c8e915137f9678df5,50000,13748,34413,top_out,4.328,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,e311ddc86bd544541b58c7f83ea634a8bcb53d27345f00abbb1a0ac6f23e893d,
bag50k,heuristic,1,0,20006,59d6d5c12b37507ecbe77a0e22e79b5996a61ce2e045f23ccf95cf876ee92a06,50000,4106,10308,top_out,1.309,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,0091478097518ff29d4de35415c831c7547bcb7809b6bb1f4f58bb36eecc19ea,
bag50k,heuristic,1,0,20007,dcfbf68816b96f5dce4727bc2ea7e76575e86c01ad5da6c6a401c3f9ccd0b243,50000,6678,16738,top_out,2.081,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,685fc15b4cfe39ad57d7da381b0905ac5eeed05d866195c19b57d8fbc01d6019,
bag50k,heuristic,1,0,20008,8eba5f25ca4eb93b8d31f0efb458e78f090a7b36b07b5d220fad92f9067d7305,50000,5318,13336,top_out,1.683,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,aea029125920f51a607d4006c138788456bd4543dd43b5d85662a4f7d1ace85c,
bag50k,heuristic,1,0,20009,f8968abb0e84e3ab23145235583c31eda9c5fec83377a7a9a4d86dad12a34f29,50000,4508,11313,top_out,1.432,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,902d67d893a1aca227f1d5b4ae0c79401b08ef0dd8d30c2516d8d2ac62be23a7,
